Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Card Payment,Current,2019-06-02 09:34:28,2019-06-04 22:31:07,SNCF,-33.20,0.00,EUR,COMPLETED,1454.26
Card Payment,Current,2019-06-02 11:12:11,2019-06-05 02:49:15,WE ARE SPORTS,-15.00,0.00,EUR,COMPLETED,1439.26
Card Payment,Current,2019-06-02 12:47:45,2019-06-05 02:49:15,Les Pralins,-25.00,0.00,EUR,COMPLETED,1414.26
Card Payment,Current,2019-06-02 12:57:29,2019-06-05 08:34:04,Lime,-2.55,0.00,EUR,COMPLETED,1411.71
Card Payment,Current,2019-06-01 21:58:54,2019-06-05 17:34:48,McDonald's,-7.60,0.00,EUR,COMPLETED,1404.11
Card Payment,Current,2019-05-31 19:53:08,2019-06-05 19:59:20,Carrefour,-52.22,0.00,EUR,COMPLETED,1351.89
Card Payment,Current,2019-06-02 19:15:51,2019-06-06 07:21:25,McDonald's,-13.12,0.00,EUR,COMPLETED,1338.77
Card Payment,Current,2019-06-13 10:10:10,2019-06-14 09:22:17,Marks & Spencer,-2.14,0.00,EUR,COMPLETED,1336.63
Card Payment,Current,2019-06-14 14:01:29,2019-06-18 03:35:21,Lahpet,-10.11,0.00,EUR,COMPLETED,1326.52
Card Payment,Current,2019-06-28 15:19:35,2019-07-04 17:37:24,Auto Europe Deutschland GmbH,-57.92,0.00,EUR,COMPLETED,1268.60
Card Payment,Current,2019-07-24 14:55:34,2019-07-25 17:53:21,La Glycine,-176.00,0.00,EUR,COMPLETED,1092.60
Card Payment,Current,2019-08-17 14:08:55,,Patiste,-35.90,0.00,EUR,REVERTED,
Card Payment,Current,2019-08-17 13:56:59,2019-08-20 07:50:45,Carrefour,-14.05,0.00,EUR,COMPLETED,1078.55
ATM,Current,2019-08-17 10:01:07,2019-08-21 01:04:05,Cash withdrawal at Lcl,-100.00,0.00,EUR,COMPLETED,978.55
Card Payment,Current,2019-08-22 10:16:44,2019-08-23 20:10:23,Transport for London,-14.34,0.00,EUR,COMPLETED,964.21
Card Payment,Current,2019-08-23 01:23:27,2019-08-23 20:10:23,The Flying Horse,-50.90,0.00,EUR,COMPLETED,913.31
Card Payment,Current,2019-08-22 21:19:12,2019-08-23 20:10:23,Gotto Trattoria,-35.47,0.00,EUR,COMPLETED,877.84
Card Payment,Current,2019-08-22 18:21:14,2019-08-23 20:10:24,CRATE Brewery & Pizzeria,-5.75,0.00,EUR,COMPLETED,872.09
Card Payment,Current,2019-08-22 19:04:05,2019-08-23 20:10:24,CRATE Brewery & Pizzeria,-5.76,0.00,EUR,COMPLETED,866.33
Card Payment,Current,2019-08-22 15:44:01,2019-08-23 20:10:24,Transport for London,-2.21,0.00,EUR,COMPLETED,864.12
Card Payment,Current,2019-08-24 09:43:30,,Lime,-4.44,0.00,EUR,REVERTED,
Card Payment,Current,2019-08-23 22:48:03,2019-08-25 11:05:14,Lime,-0.55,0.00,EUR,COMPLETED,863.57
Card Payment,Current,2019-08-23 23:07:42,2019-08-25 11:05:14,Lime,-3.20,0.00,EUR,COMPLETED,860.37
Card Payment,Current,2019-08-24 10:08:06,2019-08-26 11:32:05,Lime,-5.27,0.00,EUR,COMPLETED,855.10
